title,soldprice,solddate,bids,link
Sony Alpha A7 III 24.2 MP Digital Camera - Black (Body Only),1201.0,Sold  25 Nov 2020,13 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-2-MP-Digital-Camera-Black-Body-Only/114534867272?epid=4033519120&hash=item1aaacf6148%3Ag%3AO2UAAOSwPzVfntiC&LH_Auction=1
Sony Alpha A7 II 24.3MP Digital Camera - Black (Body Only),600.0,Sold  25 Nov 2020,26 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-II-24-3MP-Digital-Camera-Black-Body-Only/284088981249?epid=14027883825&hash=item422505d701%3Ag%3As9UAAOSww3BfuMwt&LH_Auction=1
Sony Alpha A7 III 24.2 MP Digital Camera - Black + VG-C3EM Vertical Grip,1140.0,Sold  24 Nov 2020,8 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-2-MP-Digital-Camera-Black-VG-C3EM-Vertical-Grip/284091824964?epid=4033519120&hash=item4225313b44%3Ag%3ArgYAAOSwLYVfudPn&LH_Auction=1
Sony Alpha A7S 12.2MP Digital Camera - Black (Body Only),425.0,Sold  24 Nov 2020,10 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7S-12-2MP-Digital-Camera-Black-Body-Only/143847522383?epid=12027869768&hash=item217dfb004f%3Ag%3ALnsAAOSwg1lfs-45&LH_Auction=1
Sony Alpha A7 24.3MP Digital Camera - with extras,415.13,Sold  24 Nov 2020,13 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-24-3MP-Digital-Camera-with-extras/224243497193?epid=17027888448&hash=item3435f438e9%3Ag%3A8OIAAOSw0Ztfs%7EI-&LH_Auction=1
Sony Alpha A7 II + Sony Zeiss 55mm 1.8 lens,833.89,Sold  23 Nov 2020,36 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-II-Sony-Zeiss-55mm-1-8-lens/133582956098?hash=item1f1a2a2642%3Ag%3ABIcAAOSwH-RfuByI&LH_Auction=1
SONY ALPHA A7 II 24.3MP DIGITAL CAMERA FE 50MM F1.8 LENS BUNDLE RRP OVER 1.5K,1000.0,Sold  23 Nov 2020,71 bids,https://www.ebay.co.uk/itm/SONY-ALPHA-A7-II-24-3MP-DIGITAL-CAMERA-FE-50MM-F1-8-LENS-BUNDLE-RRP-OVER-1-5K/254780318580?hash=item3b52172374%3Ag%3AZvQAAOSwUk5fstPS&LH_Auction=1
Sony Alpha A7R III 42.4MP Digital Camera - Black (Body Only),1400.0,Sold  23 Nov 2020,6 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7R-III-42-4MP-Digital-Camera-Black-Body-Only/133578458270?epid=26027889595&hash=item1f19e5849e%3Ag%3AkHMAAOSwyHhfstdN&LH_Auction=1
Sony Alpha A7S 12.2MP Digital Camera,393.0,Sold  23 Nov 2020,7 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7S-12-2MP-Digital-Camera/224237130501?epid=12027869768&hash=item3435931305%3Ag%3A2LUAAOSwPHhfoURw&LH_Auction=1
Sony a7S ii Body + Tilta Cage + Handle + 2 Batteries - ILCE7SM2 - 4K Full Frame,1394.0,Sold  23 Nov 2020,46 bids,https://www.ebay.co.uk/itm/Sony-a7S-ii-Body-Tilta-Cage-Handle-2-Batteries-ILCE7SM2-4K-Full-Frame/193762102661?hash=item2d1d1f0d85%3Ag%3AsWoAAOSwb5VfurFe&LH_Auction=1
Sony Alpha A7 24.3MP Digital Camera - Black (Body Only),123.21,Sold  23 Nov 2020,3 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-24-3MP-Digital-Camera-Black-Body-Only/284083191804?epid=17027888448&hash=item4224ad7ffc%3Ag%3A858AAOSwnclfsqjx&LH_Auction=1
Sony Alpha A7 24.3MP Digital Camera Boxed + Grip,370.0,Sold  23 Nov 2020,15 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-24-3MP-Digital-Camera-Boxed-Grip/284083179417?epid=17027888448&hash=item4224ad4f99%3Ag%3A%7EFcAAOSwVztfsqZ2&LH_Auction=1
Sony Alpha A7R Digital Camera Body,343.76,Sold  23 Nov 2020,26 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7R-Digital-Camera-Body/303770377157?hash=item46ba201bc5%3Ag%3A%7EngAAOSwxzxfspA6&LH_Auction=1
Sony Alpha A7 24.3MP Digital Camera - Black (Kit w/ FE 28-70mm OSS Lens),561.99,Sold  23 Nov 2020,16 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-24-3MP-Digital-Camera-Black-Kit-w-FE-28-70mm-OSS-Lens/124442115027?epid=175240544&hash=item1cf953fbd3%3Ag%3AogUAAOSwUu5fsmrM&LH_Auction=1
Sony Alpha A7 III 24.2 MP Digital Camera - Black + VG-C3EM Vertical Grip,1160.0,Sold  23 Nov 2020,12 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-2-MP-Digital-Camera-Black-VG-C3EM-Vertical-Grip/284089812237?epid=4033519120&hash=item422512850d%3Ag%3ArgYAAOSwLYVfudPn&LH_Auction=1
SONY A7 III Mirrorless Camera A7 3 24.2MP Full-Frame 4k *MINT* Only 187 Shots!,1350.0,Sold  22 Nov 2020,1 bid,https://www.ebay.co.uk/itm/SONY-A7-III-Mirrorless-Camera-A7-3-24-2MP-Full-Frame-4k-MINT-Only-187-Shots/313310698984?epid=4033519120&hash=item48f2c5dde8%3Ag%3AOkcAAOSwmQdfuX0F&LH_Auction=1
Sony Alpha A7 II 24.3MP Digital Camera No Reserve Price !! Bought New In 2019,571.0,Sold  22 Nov 2020,32 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-II-24-3MP-Digital-Camera-No-Reserve-Price-Bought-New-In-2019/203182394625?epid=14027883825&hash=item2f4e9d4d01%3Ag%3AhHoAAOSw-rVfsUla&LH_Auction=1
Sony Alpha A7 II 24.3MP Digital Camera - Mirrorless - PLUS 5 Batteries & EXTRAS,620.0,Sold  22 Nov 2020,9 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-II-24-3MP-Digital-Camera-Mirrorless-PLUS-5-Batteries-EXTRAS/154193872138?epid=14027883825&hash=item23e6abc50a%3Ag%3A4k4AAOSwmyNfr5e1&LH_Auction=1
Sony Alpha A7 III 24.0MP Digital Camera (Body Only),1271.0,Sold  22 Nov 2020,6 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-0MP-Digital-Camera-Body-Only/114533258984?hash=item1aaab6d6e8%3Ag%3AoXEAAOSwA9xft8%7E%7E&LH_Auction=1
Sony Alpha A7RII MK 2 ILCE-7RM2 Digital Camera E Mount [Please Read Description],790.0,Sold  22 Nov 2020,19 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7RII-MK-2-ILCE-7RM2-Digital-Camera-E-Mount-Please-Read-Description/293834709507?epid=1356630201&hash=item4469e9da03%3Ag%3AmXUAAOSwxsNfpHS8&LH_Auction=1
Sony a7s Mark II Mirrorless Video Camera (Black) - ILCE-7SM2,412.0,Sold  22 Nov 2020,25 bids,https://www.ebay.co.uk/itm/Sony-a7s-Mark-II-Mirrorless-Video-Camera-Black-ILCE-7SM2/154199667455?hash=item23e70432ff%3Ag%3AN1MAAOSwLYBftB8v&LH_Auction=1
sony a7s,596.0,Sold  22 Nov 2020,16 bids,https://www.ebay.co.uk/itm/sony-a7s/233782784514?hash=item366e8a3202%3Ag%3AeCcAAOSwf4BfsYGT&LH_Auction=1
Sony Alpha A7S 12.2MP Digital Camera - Black (Body Only),510.0,Sold  22 Nov 2020,4 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7S-12-2MP-Digital-Camera-Black-Body-Only/303769128500?epid=12027869768&hash=item46ba0d0e34%3Ag%3A0wcAAOSwk4JfqEas&LH_Auction=1
Sony A7 Mirrorless 24.3 MP Full Frame Camera Body Only - Only 903 Shutter Count,406.0,Sold  22 Nov 2020,15 bids,https://www.ebay.co.uk/itm/Sony-A7-Mirrorless-24-3-MP-Full-Frame-Camera-Body-Only-Only-903-Shutter-Count/264939651234?hash=item3dafa240a2%3Ag%3AI8cAAOSwUk5fsX-v&LH_Auction=1
Sony Alpha A7R III 42.4MP - Black (Body Only) Immaculate - Many Extras,1700.0,Sold  22 Nov 2020,46 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7R-III-42-4MP-Black-Body-Only-Immaculate-Many-Extras/154191362798?epid=26027889595&hash=item23e6857aee%3Ag%3AISEAAOSwunJfrXZQ&LH_Auction=1
Sony A7 II -Mark II- Mirrorless Full Frame DSLR Camera Body -E Mount - with Grip,520.0,Sold  22 Nov 2020,35 bids,https://www.ebay.co.uk/itm/Sony-A7-II-Mark-II-Mirrorless-Full-Frame-DSLR-Camera-Body-E-Mount-with-Grip/303774621016?hash=item46ba60dd58%3Ag%3AKagAAOSwS3pfsumX&LH_Auction=1
